#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
26.9306962;9.8805667;3.7729790;0.0052534;-0.0181378;4.0000000;0.0000000
27.1301829;9.8799097;3.9724641;0.0011835;-0.0226495;4.0000000;0.0000000
27.3296695;9.8801529;4.1719507;-0.0037665;-0.0270123;4.0000000;0.0000000
27.5291561;9.8814735;4.3714327;-0.0096327;-0.0318875;4.0000000;0.0000000
27.7286428;9.8840688;4.5709019;-0.0165859;-0.0378530;4.0000000;0.0000000
27.9281294;9.8881724;4.7703461;-0.0247696;-0.0442294;4.0000000;0.0000000
28.1276161;9.8940381;4.9697460;-0.0342673;-0.0501312;4.0000000;0.0000000
28.3271027;9.9018334;5.1690793;-0.0437107;-0.0424487;4.0000000;0.0000000
28.5265893;9.9111571;5.3683475;-0.0486183;-0.0078389;4.0000000;0.0000000
28.7260760;9.9208770;5.5675966;-0.0482156;0.0116181;4.0000000;0.0000000
28.9255626;9.9301558;5.7668672;-0.0443186;0.0274502;4.0000000;0.0000000
29.1250493;9.9383433;5.9661858;-0.0372634;0.0433062;4.0000000;0.0000000
29.3245359;9.9448066;6.1655675;-0.0270106;0.0593637;4.0000000;0.0000000
29.5240225;9.9489193;6.3650101;-0.0137530;0.0735722;4.0000000;0.0000000
29.7235092;9.9501035;6.5644893;0.0023768;0.0910504;4.0000000;0.0000000
29.9229958;9.9473926;6.7639503;0.0269387;0.1562176;4.0000000;0.0000000
30.1224824;9.9383652;6.9632188;0.0663497;0.2379535;4.0000000;0.0000000
30.3219691;9.9199844;7.1618324;0.1204157;0.3039597;4.0000000;0.0000000
30.5214557;9.8896174;7.3589575;0.1874059;0.3679131;4.0000000;-2.2941618
30.7209424;9.8448658;7.5533066;0.2674707;0.4352320;3.8839015;-2.3616297
30.9204290;9.7834150;7.7430181;0.3614409;0.5074597;3.7606467;-1.6719524
31.1199156;9.7031082;7.9255230;0.4701582;0.5836614;3.6708854;-0.7679181
31.3194023;9.6021449;8.0974290;0.5946980;0.6658423;3.6289145;-0.0263874
31.5188889;9.4794681;8.2545366;0.7332193;0.7227272;3.6274637;-0.0263874
31.7183756;9.3360849;8.3930063;0.8700662;0.6513057;3.6260122;0.9202892
31.9178622;9.1759803;8.5117909;0.9923583;0.5750987;3.6762937;1.7103602
32.1173488;9.0032696;8.6114220;1.1006337;0.5112352;3.7679601;2.2232559
32.3168355;8.8212887;8.6929491;1.1965890;0.4513752;3.8838825;2.2945314
32.5163221;8.6326904;8.7577706;1.2810549;0.3959405;4.0000000;0.0000000
32.7158088;8.4395509;8.8075124;1.3546071;0.3417865;4.0000000;0.0000000
32.9152954;8.2434598;8.8439894;1.4173409;0.2873626;4.0000000;0.0000000
33.1147820;8.0455923;8.8691859;1.4690779;0.2314567;4.0000000;0.0000000
33.3142687;7.8467651;8.8852325;1.5095561;0.1743395;4.0000000;0.0000000
33.5137553;7.6474943;8.8943753;1.5383457;0.1151491;4.0000000;0.0000000
33.7132419;7.4480597;8.8988139;1.5574562;0.0762700;4.0000000;0.0000000
33.9127286;7.2485788;8.9002495;1.5682819;0.0329044;4.0000000;0.0000000
