#x_m,y_m,w_tr_right_m,w_tr_left_m
1.1100,1.9200,0.7000,0.7000
1.0600,1.9200,0.7000,0.7000
1.0100,1.9200,0.7000,0.7000
0.9600,1.9200,0.7000,0.7000
0.9100,1.9200,0.7000,0.7000
0.8600,1.9200,0.7000,0.7000
0.8100,1.9200,0.7000,0.7000
0.7600,1.9200,0.7000,0.7000
0.7100,1.9200,0.7000,0.7000
0.6600,1.9200,0.7000,0.7000
0.6100,1.9200,0.7000,0.7000
0.5600,1.9200,0.7000,0.7000
0.5100,1.9200,0.7000,0.7000
0.4600,1.9200,0.7000,0.7000
0.4100,1.9200,0.7000,0.7000
0.3600,1.9200,0.7000,0.7000
0.3100,1.9200,0.7000,0.7000
0.2600,1.9200,0.7000,0.7000
0.2100,1.9200,0.7000,0.7000
0.1600,1.9200,0.7000,0.7000
0.1100,1.9200,0.7000,0.7000
0.0600,1.9200,0.7000,0.7000
0.0100,1.9200,0.7000,0.7000
-0.0400,1.9200,0.7000,0.7000
-0.0900,1.9200,0.7000,0.7000
-0.1400,1.9200,0.7000,0.7000
-0.1900,1.9200,0.7000,0.7000
-0.2400,1.9200,0.7000,0.7000
-0.2900,1.9200,0.7000,0.7000
-0.3400,1.9200,0.7000,0.7000
-0.3900,1.9200,0.7000,0.7000
-0.4400,1.9200,0.7000,0.7000
-0.4900,1.9200,0.7000,0.7000
-0.5400,1.9200,0.7000,0.7000
-0.5900,1.9200,0.7000,0.7000
-0.6400,1.9200,0.7000,0.7000
-0.6900,1.9200,0.7000,0.7000
-0.7400,1.9200,0.7000,0.7000
-0.7900,1.9200,0.7000,0.7000
-0.8400,1.9200,0.7000,0.7000
-0.8900,1.9200,0.7000,0.7000
-0.9400,1.9200,0.7018,0.7018
-0.9900,1.9200,0.7071,0.7071
-1.0400,1.9200,0.7159,0.7159
-1.0900,1.9200,0.7280,0.7280
-1.1400,1.9200,0.7433,0.7433
-1.1900,1.9200,0.7500,0.7500
-1.2400,1.9200,0.7500,0.7500
-1.2900,1.9200,0.7500,0.7500
-1.3400,1.9200,0.7500,0.7500
-1.3900,1.9200,0.7500,0.7500
-1.4400,1.9200,0.7500,0.7500
-1.4900,1.9200,0.7500,0.7500
-1.5400,1.9200,0.7500,0.7500
-1.5900,1.9200,0.7500,0.7500
-1.6400,1.8700,0.8000,0.8000
-1.6900,1.8700,0.8000,0.8000
-1.7400,1.8200,0.8500,0.8500
-1.7900,1.7700,0.9000,0.9000
-1.8400,1.7200,0.9500,0.9500
-1.8400,1.6700,0.9500,0.9500
-1.8400,1.6200,0.9500,0.9500
-1.8400,1.5700,0.9500,0.9500
-1.8400,1.5200,0.9500,0.9500
-1.8400,1.4700,0.9500,0.9500
