#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
47.2797733;-6.1157553;8.8992984;1.5706164;0.0003772;6.0000000;0.0000000
47.4792660;-6.3152480;8.8993254;1.5707131;0.0005936;6.0000000;0.0000000
47.6787587;-6.5147407;8.8993297;1.5708388;0.0006657;6.0000000;0.0000000
47.8782514;-6.7142334;8.8993097;1.5709464;0.0004117;6.0000000;0.0000000
48.0777441;-6.9137261;8.8992739;1.5709926;0.0000508;6.0000000;0.0000000
48.2772369;-7.1132188;8.8992340;1.5709995;0.0000199;6.0000000;0.0000000
48.4767296;-7.3127116;8.8991935;1.5709959;-0.0000559;6.0000000;0.0000000
48.6762223;-7.5122043;8.8991561;1.5709661;-0.0002443;6.0000000;0.0000000
48.8757150;-7.7116970;8.8991282;1.5709006;-0.0004115;6.0000000;0.0000000
49.0752077;-7.9111897;8.8991167;1.5708009;-0.0005881;6.0000000;0.0000000
49.2747004;-8.1106824;8.8991285;1.5706683;-0.0007412;6.0000000;0.0000000
49.4741931;-8.3101751;8.8991697;1.5705067;-0.0008793;6.0000000;0.0000000
49.6736859;-8.5096678;8.8992455;1.5703241;-0.0009501;6.0000000;0.0000000
49.8731786;-8.7091605;8.8993586;1.5701342;-0.0009534;6.0000000;0.0000000
50.0726713;-8.9086532;8.8995097;1.5699442;-0.0009515;6.0000000;0.0000000
50.2721640;-9.1081458;8.8996978;1.5697655;-0.0008397;6.0000000;0.0000000
50.4716567;-9.3076384;8.8999093;1.5697624;0.0008170;6.0000000;0.0000000
50.6711494;-9.5071310;8.9000946;1.5699964;0.0015234;6.0000000;0.0000000
50.8706421;-9.7066237;8.9002283;1.5702327;0.0008384;6.0000000;0.0000000
51.0701349;-9.9061164;8.9003244;1.5703945;0.0007877;6.0000000;0.0000000
51.2696276;-10.1056091;8.9003860;1.5705962;0.0012366;6.0000000;0.0000000
51.4691203;-10.3051018;8.9003979;1.5708937;0.0017466;6.0000000;0.0000000
51.6686130;-10.5045945;8.9003495;1.5711551;0.0008658;6.0000000;0.0000000
51.8681057;-10.7040872;8.9002710;1.5711715;-0.0007049;6.0000000;0.0000000
52.0675984;-10.9035798;8.9001084;1.5725713;0.0148334;6.0000000;-7.5039285
52.2670911;-11.1030704;8.8992592;1.5785451;0.0451348;5.7450885;-7.2085729
52.4665839;-11.3025440;8.8965950;1.5908651;0.0783888;5.4890734;-6.4938682
52.6660766;-11.5019499;8.8908126;1.6098088;0.1115277;5.2477583;-5.9008239
52.8655693;-11.7011752;8.8805915;1.6354266;0.1453141;5.0184285;-5.4754988
53.0650620;-11.9000183;8.8646117;1.6676156;0.1774186;4.7958295;-5.0579422
53.2645547;-12.0981641;8.8415769;1.7066660;0.2141906;4.5806043;-4.9963254
53.4640474;-12.2951949;8.8104211;1.7481433;0.2013815;4.3575767;-5.4119147
53.6635401;-12.4907389;8.7710113;1.7926838;0.2455158;4.1023407;-4.3400662
53.8630329;-12.6840184;8.7217318;1.8515086;0.3444400;3.8855599;-3.2990782
54.0625256;-12.8734177;8.6592498;1.9309964;0.4526831;3.7123162;-2.3988520
54.2620183;-13.0563974;8.5799893;2.0315845;0.5565161;3.5810871;-1.3462517
54.4615110;-13.2294306;8.4809513;2.1533722;0.6664242;3.5052889;-0.0246201
54.6610037;-13.3878132;8.3599280;2.2967681;0.7746049;3.5038874;-0.0246201
54.8604964;-13.5263435;8.2166270;2.4484216;0.7471352;3.5024854;0.3199902
55.0599891;-13.6423835;8.0545603;2.5890410;0.6606350;3.5206641;1.2965225
55.2594819;-13.7360727;7.8785913;2.7130747;0.5830468;3.5933785;1.9555910
55.4589746;-13.8087544;7.6929169;2.8211547;0.5011726;3.7003542;2.6201754
55.6584673;-13.8625764;7.5008939;2.9126606;0.4166894;3.8390146;3.3392624
55.8579600;-13.9002627;7.3050401;2.9876194;0.3352143;4.0087841;4.0907628
56.0574527;-13.9247579;7.1070858;3.0467686;0.2580863;4.2074345;4.9057270
56.2569454;-13.9390210;6.9081195;3.0908158;0.1837127;4.4339394;5.2605752
56.4564381;-13.9460016;6.7087558;3.1198262;0.1072298;4.6646234;5.2563662
56.6559309;-13.9485923;6.5092819;3.1354742;0.0497111;4.8842527;5.2521606
56.8554236;-13.9491087;6.3097901;3.1411067;0.0067793;5.0942576;5.2479583
57.0549163;-13.9491269;6.1102974;-3.1415654;-0.0015778;5.2957832;5.2437594
57.2544090;-13.9491552;5.9108047;3.1412722;-0.0018956;5.4897635;5.2395638
57.4539017;-13.9492560;5.7113120;3.1409068;-0.0017670;5.6769721;5.2353716
57.6533944;-13.9494244;5.5118194;3.1406076;-0.0012317;5.8580585;4.2185764
57.8528871;-13.9496370;5.3123268;3.1404888;0.0000418;6.0000000;0.0000000
58.0523799;-13.9498466;5.1128342;3.1406441;0.0015158;6.0000000;0.0000000
58.2518726;-13.9500014;4.9133415;3.1410104;0.0021545;6.0000000;0.0000000
58.4513653;-13.9500759;4.7138488;3.1414218;0.0019694;6.0000000;0.0000000
58.6508580;-13.9500730;4.5143561;-3.1414036;0.0016382;6.0000000;0.0000000
58.8503507;-13.9500028;4.3148634;-3.1410782;0.0016243;6.0000000;0.0000000
59.0498434;-13.9498706;4.1153707;-3.1407950;0.0012144;6.0000000;0.0000000
59.2493361;-13.9496936;3.9158781;-3.1406485;0.0002537;6.0000000;0.0000000
59.4488289;-13.9495000;3.7163855;-3.1405935;0.0002995;6.0000000;0.0000000
59.6483216;-13.9492926;3.5168929;-3.1405022;0.0006155;6.0000000;0.0000000
59.8478143;-13.9490629;3.3174003;-3.1403809;0.0005998;6.0000000;0.0000000
60.0473070;-13.9488141;3.1179077;-3.1403348;-0.0001380;6.0000000;0.0000000
60.2467997;-13.9485747;2.9184151;-3.1404937;-0.0014552;6.0000000;0.0000000
60.4462924;-13.9483898;2.7189225;-3.1408652;-0.0022692;6.0000000;0.0000000
60.6457851;-13.9482921;2.5194298;-3.1413528;-0.0026192;6.0000000;-0.5641535
60.8452779;-13.9482969;2.3199371;3.1413024;-0.0026951;5.9812132;-9.4853189
61.0447706;-13.9484055;2.1204444;3.1408092;-0.0022485;5.6560063;-9.4971986
61.2442633;-13.9486079;1.9209518;3.1403397;-0.0024593;5.3104767;-9.4971972
61.4437560;-13.9488758;1.7214593;3.1403160;0.0022259;4.9408420;-8.2392625
61.6432487;-13.9486892;1.5219670;-3.1364512;0.0621598;4.5961477;-6.4127549
61.8427414;-13.9457199;1.3225009;-3.1134156;0.1688290;4.3088256;-5.4552230
62.0422341;-13.9362098;1.1232494;-3.0717045;0.2494074;4.0483853;-4.3551826
62.2417269;-13.9166485;0.9247482;-3.0115498;0.3538275;3.8277630;-3.4303648
62.4412196;-13.8831359;0.7281457;-2.9304398;0.4597022;3.6445993;-2.5270749
